"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"40000006","Katherine Davies","SCS2","Head of Public Health, Armed Forces and Health and Justice Comissioning","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000017","488852","1.00","110000","114999","","Policy","","1"
"40000069","James Fisher","SCS2","Director of Genomics Implementation Unit","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000072","471229","1.00","185000","189999","","Policy","James Fisher is contracted into NHS England","1"
"40000008","Dr David Geddes","SCS2","Head of Primary Care Commissioning","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000017","467945","0.80","110000","114999","","Policy","","1"
"40000070","Professor Sue Hill","SCS2","Chief Scientific Officer","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000072","N/D","1.00","170000","174999","","Medicine","Sue Hill is seconded into NHS England from University Hospitals Birmingham  - NHS Foundation Trust. The team is too small to detail. The salary cost of direct reports has been included under Bruce Keogh","1"
"40000071","Sara Hurley","SCS2","Chief Dental Officer","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000072","N/D","1.00","120000","124999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Bruce Keogh","1"
"40000010","Deborah Jaines","SCS2","Head of Primary Care Policy and Contracts","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000017","N/D","0.90","95000","99999","","Policy","The team is too small to detail. The salary cost of direct reports has been included under Rosamond Roughton","1"
"40000072","Sir Bruce Keogh","SCS3","National Medical Director","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury, in accordance with NHS Five Year Forward View and the re in collabortation with the Medical Royal Colleges, regulators and the British Medical Association.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000002","1306079","1.00","190000","194999","","Medicine","Salary cost of direct reports also includes cost of direct reports from Celia Ingham-Clark, Keith Ridge, Keith Willett, Lauren Hughes, Sara Hurley, Simon Bennett, Sue Hill and Suzanne Rastrick","1"
"40000263","Dr Arvind Madan","SCS2","Director of Primary Care","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000072","0","0.80","160000","164999","","Medicine","Arvind Madan is seconded into NHS England from The Hurley Group.","1"
"40000014","Alexandra Morton","SCS2","Director of Commissioning System Change and Public Health Transition","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000017","476916","1.00","125000","129999","","Policy","","1"
"40000297","Cally Palmer","SCS2","National Cancer Director","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000072","0","0.60","150000","154999","","Medicine","Cally Palmer is seconded into NHS England from Royal Marsden.","1"
"40000298","Pauline Philip","SCS2","National Urgent and Emergency Care Director","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000072","0","0.40","100000","104999","","Medicine","Pauline Philip is seconded into NHS England from Luton and Dunstable.","1"
"40000073","Suzanne Rastrick","SCS2","Chief Allied Health Professions Officer","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000072","N/D","1.00","120000","124999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Bruce Keogh","1"
"40000074","Keith Ridge","SCS2","Chief Pharmaceutical Officer","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000072","N/D","1.00","125000","129999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Bruce Keogh","1"
"40000017","Rosamond Roughton","SCS2","Director of NHS Commissioning","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000072","548006","0.90","125000","129999","","Policy","Salary cost of direct reports also includes cost of direct reports from Deborah Jaines and Ian Biggs","1"
"40000076","Karen Turner","SCS2","Director of Clinical Policy and Mental Health Strategy","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000072","451828","0.80","95000","99999","","Policy","","1"
"40000266","Dr Robert Varnam","SCS2","Head of General Practice Development","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000017","0","0.85","115000","119999","","Policy","","1"
"40000080","Jonathan Benger","SCS2","National Clinical Director : Urgent Care","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000104","0","0.50","60000","64999","","Medicine","Jonathan Benger is seconded into NHS England from University Hospitals Bristol NHS Foundation Trust.","1"
"40000082","Alistair Burns","SCS2","National Clinical Director : Dementia","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000104","0","0.60","90000","94999","","Medicine","Alistair Burns is seconded into NHS England from University of Manchester.","1"
"40000084","Jacqueline Cornish","SCS2","National Clinical Director : Children, Young People and transition to adulthood","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000104","0","0.80","105000","109999","","Medicine","Jacqueline Cornish is seconded into NHS England from University Hospitals Bristol NHS Foundation Trust.","1"
"40000085","Erika Denton","SCS2","National Clinical Director : Diagnostics, including Imaging","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000092","0","0.20","25000","29999","","Medicine","Erika Denton is seconded into NHS England from Norfolk and Norwich University Hospitals NHS Foundation Trust. 30th September was Erika Denton's last day in post. This post was vacant from 1st October 2016.","1"
"40000086","Chris Harrison","SCS2","National Clinical Director : Cancer","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000092","0","0.50","50000","54999","","Medicine","Chris Harrison is seconded into NHS England from The Christies Foundation NHS Trust.","1"
"40000267","Huon Gray","SCS2","National Clinical Director: Cardiac Services","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000092","0","0.50","65000","69999","","Medicine","Huon Gray is seconded into NHS England from University Hospitals Southampton NHS Foundation Trust.","1"
"40000092","Dr Celia Ingham-Clark","SCS2","Medical Director (Clinical Effectiveness)","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000072","N/D","1.00","190000","194999","","Medicine","Celia Ingham-Clark is seconded into NHS England from Whittington Hospital. The team is too small to detail. The salary cost of direct reports has been included under Bruce Keogh","1"
"40000083","Matthew Jolly","SCS2","National Clinical Director : Maternity and Womens Health","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000104","0","0.40","50000","54999","","Medicine","Matthew Jolly is seconded into NHS England from Western Sussex Hospitals Foundation Trust.","1"
"40000093","Peter Kay","SCS2","National Clinical Director : Musculoskeletal","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000104","0","0.40","50000","54999","","Medicine","Peter Kay is seconded into NHS England from Wrightington, Wigan and Leigh NHS Foundation Trust.","1"
"40000097","Mike Morgan","SCS2","National Clinical Director : Respiratory","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000092","0","0.40","50000","54999","","Medicine","Mike Morgan is seconded into NHS England from University Hospitals of Leicester NHS Trust.","1"
"40000098","Dr Matt Kearney","SCS2","National Clinical Director : Stroke","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000092","0","0.40","60000","64999","","Medicine","","1"
"40000099","Dr Dominic Slowie","SCS2","National Clinical Advisor (Learning Disabilities and Premature Mortality)","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000072","0","0.40","50000","54999","","Medicine","","1"
"40000100","Timothy Kendall","SCS2","National Clinical Director : Mental Health","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000104","0","0.60","75000","79999","","Medicine","Timothy Kendall is seconded into NHS England from Sheffield Health and Social Care Trust.","1"
"40000102","Jonathan Valabhji","SCS2","National Clinical Director : Obesity and Diabetes","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000092","0","0.50","60000","64999","","Medicine","Jonathan Valabhji is seconded into NHS England from Imperial College Healthcare NHS Trust.","1"
"40000103","Bee Wee","SCS2","National Clinical Director : End of Life Care","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000104","0","0.40","50000","54999","","Medicine","Bee Wee is seconded into NHS England from Oxford University Hospital NHS Trust.","1"
"40000104","Professor Keith Willett","SCS2","Medical Director (Acute Care)","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000072","N/D","1.00","100000","104999","","Medicine","Keith Willett is seconded into NHS England from Oxford University. The team is too small to detail. The salary cost of direct reports has been included under Bruce Keogh","1"
"40000105","Bob Winter","SCS2","National Clinical Director: Emergency Preparedness and Critical Care","The core role and purpose of the Medical Directorate will be to continuously improve quality outcomes through clinical leadership and influence in the three domains of; preventing people from dying prematurely; enhancing quality of life for people with long-term conditions; and helping people to recover from episodes of ill health or following injury.","Department of Health","NHS England","Medical","0300 311 22 33","england.contactus@nhs.net","40000104","0","0.30","35000","39999","","Medicine","Bob Winter is seconded into NHS England from East Midlands Ambulance Service NHS Trust.","1"
"40000107","Jo-Anne Alner","SCS2","Locality Director: Hereford and Worcester","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000146","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Alison Tonge","1"
"40000108","Vivienne Stimpson","SCS2","Director of Nursing (Midlands and East - East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000130","N/D","1.00","90000","94999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Andrew Pike","1"
"40000115","Mick Cawley","SCS2","Director of Finance (Midlands and East - North)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000132","N/D","1.00","115000","119999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Wendy Saviour","1"
"40000109","Dominic Cox","SCS2","Locality Director: South (Midlands and East - Central)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000147","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Elliot Howard-Jones","1"
"40000110","Manjit Darby","SCS2","Director of Nursing and Quality (Midlands and East - Central)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000147","N/D","1.00","110000","114999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Elliot Howard-Jones","1"
"40000111","Dr Kenneth Deacon","SCS2","Medical Director (Midlands and East - North)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000132","276523","0.80","110000","114999","","Medicine","","1"
"40000112","Joanna Yellon","SCS2","Locality Director: Cambridgeshire, Peterborough and Norfolk","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000130","N/D","1.00","100000","104999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Andrew Pike","1"
"40000113","Vacant","SCS2","Director of Nursing (Midlands and East - West)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","N/A","england.contactus@nhs.net","40000146","0","1.00","110000","114999","","Medicine","Post became vacant on 31st August 2016","1"
"40000114","Christopher Ford","SCS2","Director of Finance (Midlands and East - Central)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000147","N/D","1.00","115000","119999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Elliot Howard-Jones","1"
"40000116","Robert Gornall","SCS2","Clinical Director: Cancer (Midlands and East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000122","0","0.38","45000","49999","","Medicine","","1"
"40000140","Fiona Hamill","SCS2","Locality Director (Midlands and East - Staffordshire)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000132","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Wendy Saviour","1"
"40000117","Brian Hanford","SCS2","Director of Finance (Midlands and East - West)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000146","N/D","1.00","120000","124999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Alison Tonge","1"
"40000118","Rachel Hardy","SCS2","Regional Director of Finance (Midlands and East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000143","N/D","1.00","130000","134999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Paul Watson","1"
"40000120","James Heys","SCS2","Locality Director: North (Midlands and East - Central)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000147","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Elliot Howard-Jones","1"
"40000147","Elliot Howard-Jones","SCS2","Director of Commissioning Operations (Midlands and East - Central)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000143","1170171","1.00","140000","144999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Aly Rashid, Christopher Ford, Dominic Cox, James Heys, Manjit Darby and Trish Thompson","1"
"40000121","Graeme Jones","SCS2","Regional Director of Delivery (Midlands and East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000143","568520","1.00","130000","134999","","Operational Delivery","","1"
"40000122","Dr David Levy","SCS2","Regional Medical Director (Midlands and East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000143","N/D","1.00","170000","174999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Paul Watson","1"
"40000139","Dr Geraldine Linehan","SCS2","Clinical Director of Specialised Commissioning (Midlands and East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000128","N/D","1.00","135000","139999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Catherine O'Connell","1"
"40000123","Dr Alistair Lipp","SCS2","Medical Director (Midlands and East - East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000130","N/D","1.00","140000","144999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Andrew Pike","1"
"40000124","Dr Mark Sanderson","SCS2","Deputy Regional Medical Director (Midlands and East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000122","0","1.00","105000","109999","","Medicine","","1"
"40000125","Adrian Marr","SCS2","Director of Finance (Midlands and East - East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000130","N/D","1.00","120000","124999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Andrew Pike","1"
"40000126","Alan McDermott","SCS2","Regional Director of Patients and Information (Midlands and East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000143","N/D","1.00","115000","119999","","Knowledge and Information Management (KIM)","The team is too small to detail. The salary cost of direct reports has been included under Paul Watson","1"
"40000119","Alastair McIntyre","SCS2","Locality Director: Birmingham, Solihull and Black Country","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000146","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Alison Tonge","1"
"40000127","Stephen Morrison","SCS2","Regional Director of People and Organisation Development (Midlands and East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000143","N/D","1.00","115000","119999","","Human Resources","The team is too small to detail. The salary cost of direct reports has been included under Paul Watson","1"
"40000141","Oliver Newbould","SCS2","Locality Director: (Midlands and East - North)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000132","N/D","1.00","110000","114999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Wendy Saviour","1"
"40000128","Catherine O'Connell","SCS2","Regional Director of Specialised Commissioning (Midlands and East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000143","838203","1.00","130000","134999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Alison Taylor and Geraldine Linehan","1"
"40000129","Dr Kiran Patel","SCS2","Medical Director (Midlands and East - West)","At a local level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000146","498730","1.00","135000","139999","","Medicine","","1"
"40000130","Andrew Pike","SCS2","Director of Commissioning Operations (Midlands and East - East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000143","1312275","1.00","140000","144999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Adrian Marr, Alistair Lipp, Carole Theobald, Joanna Yellon, Simon Evan-Evans and Vivienne Stimpson","1"
"40000131","Dr Aly Rashid","SCS2","Medical Director (Midlands and East - Central)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000147","N/D","1.00","145000","149999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Elliot Howard-Jones","1"
"40000132","Wendy Saviour","SCS2","Director of Commissioning Operations (Midlands and East - North)","At sub-regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000143","1261117","1.00","150000","154999","","Operational Delivery","Salary cost of direct reports also includes cost of direct reports from Tracey Sherwan, Fiona Hamill, Mick Cawley, Oliver Newbould and Vikki Taylor","1"
"40000133","Tracey Shewan","SCS2","Acting Director of Nursing (Midlands and East - North)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000132","N/D","1.00","105000","109999","","Medicine","The team is too small to detail. The salary cost of direct reports has been included under Wendy Saviour","1"
"40000134","Alison Taylor","SCS2","Regional Director of Finance - Specialised Commissioning (Midlands and East)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000128","N/D","1.00","125000","129999","","Finance","The team is too small to detail. The salary cost of direct reports has been included under Catherine O'Connell","1"
"40000135","Vikki Taylor","SCS2","Locality Director: (Midlands and East - North)","At regional level, to work to achieve shared goals of improving outcomes and delivery of the mandate, using a single, transparent, rules-based operating model.","Department of Health","NHS England","Midlands and East Region","0300 311 22 33","england.contactus@nhs.net","40000132","N/D","1.00","120000","124999","","Operational Delivery","The team is too small to detail. The salary cost of direct reports has been included under Wendy Saviour","1"
